ROC-AUC,PR-AUC,Brier Score,Log Loss,Accuracy,Balanced Accuracy,Precision,Recall,F1 Score,Specificity,Model,Experiment,Split
0.5,0.29651162790697677,0.20978027224686974,0.61061253281072,0.7034883720930233,0.5,0.0,0.0,0.0,1.0,Dummy (Prior),EXPERIMENT A: Static Spatial Susceptibility,Test Set
0.5052665694376924,0.28931026785827796,0.251873792273116,0.6966623112559592,0.5465116279069767,0.5415653864851726,0.3333333333333333,0.5294117647058824,0.4090909090909091,0.5537190082644629,Logistic Regression (L2),EXPERIMENT A: Static Spatial Susceptibility,Test Set
0.6285853184248906,0.3821021897602754,0.21414151342690071,0.620474836167576,0.6104651162790697,0.5076162696483553,0.30952380952380953,0.2549019607843137,0.27956989247311825,0.7603305785123967,Random Forest,EXPERIMENT A: Static Spatial Susceptibility,Test Set
0.6643979906011992,0.40279018950418816,0.20920293595105457,0.6139368968281972,0.7093023255813954,0.5608491330416464,0.5263157894736842,0.19607843137254902,0.2857142857142857,0.9256198347107438,Gradient Boosting,EXPERIMENT A: Static Spatial Susceptibility,Test Set
